Content,Comments,Number of Comments
"Erkek Masa Tenisi Takımımızın Üniversiteler Arası Avrupa Şampiyonasında art arda 3 kez Avrupa Şampiyonu, 4 kez üst üste Türkiye Şampiyonu olduğunu biliyor musun? 🙌 @nishsportif #nisantasiuniversity","Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, 👏👏👏👏, Дoброго времeни cуток) мне нyжнo твoё мнeние, ответишь?)",10
"Üniversitemiz tarafından düzenlenen, T.C. Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğü tarafından desteklenen, sinema sektöründen duayen isimlerin katıldığı sinema söyleşilerinin yer aldığı değerli hocamız Doç. Dr. Nagihan Çakar’ın direktörlüğünde gerçekleşen 2. TAYF Uluslararası Kısa Film Festivali’mizin galasında 4 kategoride 12 ödül sahiplerini buldu. Gençlerin kendilerini ispat etmelerine olanak tanıyan, kendi hikayesini ortaya koyan ve bu süreci destekleyen değerli katılımcılarımıza sonsuz teşekkür ederiz.🙏 @sinemagenelmd @tckulturturizm @tayffilmfest @nagihanncakar","👏👏👏👏👏👏, Üniversitem ❤️, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, #nişantaşıüniversitesi As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, İNDİRİMLİ FİYATLARLA TEZ ÖDEV MAKALE VE SPSS İÇİN YANINIZDAYIZ..., İNDİRİMLİ FİYATLARLA TEZ ÖDEV MAKALE VE SPSS İÇİN YANINIZDAYIZ...",12
Good morning! 🌞 What word is used the most in the departments as the midterms are about to end❓ #neotechcampus,"🙌, ""Hallederiz"", Radyoterapi ve Anestezi öğrencisiyim en çok duyduğum “finaller online mı?”, Online olmalı bizleri mağdur etmelerine Müsade etmemeliyiz bu dönem online kapanmalı @nisantasiogrencidekanligi @levent_uysal, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Travma, Fizik tedavi ve rehabilitasyon öğrencisiyim en çok duyduğum şey “ Terasta sigara içelim mi ? ”, ic mimarlik- yetismiyo!! , As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, şey kelime demiştik ama yani amaaaan, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Konudan bağımsız sondaki kızın güzellik halis mi @ece.atis, Bü gün umarım final sınavlarıda online olacak açıklamasını duymayı bekliyorum, bizler şehir dışında ailelerimizin yanına yerleşmek zorunda kaldık umarız 7 hafta için bizi istanbula getirmeyi düşünecek bencillikte değildir dekanlığımız @levent_uysal @nisantasiogrencidekanligi",15
"Üniversitemiz İktisadi İdari ve Sosyal Bilimler Fakültesi tarafından yürütülmekte olan ve Bilimsel Projeler Koordinasyon Birimi tarafından desteklenen ‘Güçlü Kadınlar Yollarda’ Projesi’nin açılış toplantısı 4 Mayıs 2023 Perşembe günü okulumuzda, saat 10.00-12.00 saatleri arasında Senato Odası’nda gerçekleştirilecektir. Güçlü Kadınlar Yollarda Projesi, küresel ölçekte artan işsizliğin ve yoksulluğun önlenmesinde kritik rol oynayan kooperatiflerin kapasitelerinin kent ölçeğinde güçlendirilmesine destek olmayı amaçlamaktadır. #GüçlüKadınlarYollardaProjesi","🙌, 💅🏻👸🏻💐, ÖDEV TEZ MAKALE PROJE YAZILIR. SPSS ANALİZİ YAPILIR..ÇEVİRİ YAPILIR.., Tez haZırlanır ödev yapılır",4
The midterms pause some things. ✋ We wish success to all our students. ✍️🧡 #nisantasiuniversity #midterms2023 #success,"عود مو تسوو حضوري وتضربونا بوري :) لان مدرست شي و معتمدة ع الغش خخخخخ, @nb2xri 🤣🤣, sosyal hayatın zaten kapalı olması 💔💔💔💔💔💔💔, Hadi bakalım başarılar bize😂❤️, Sosyal hayat zaten yok aw, I can make your homework or project, İnsanlar dikkatlerini dağıtmaya çalıştıklarında Instagram aracılığıyla stres yaratan faktörleri hatırlatma alışkanlığınız var , Tez hazırlanır ödev yapılır",8
"Together, we love NeoTech Campus the most. A short break! 🤙 #neotechcampus","Don’t increase prices we are paying in dollar, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, I can make your homework or project",3
"T.C. Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğü’nün katkılarıyla, üniversitemiz tarafından düzenlenen, Tayf Uluslararası Kısa Film Festivali Programı 🎬 #tayfkısafilmfestivali #nisantasiuniversity",,0
The mornings we start the day with the piano are what we miss the most while you are away. 🌞🎹 #neotechcampus,"👑, 🖤, Wanna try it one day, Missuuu universiyyy❤️❤️❤️, Çok gzl 😍, Nice✨, ❤️, Okul bu sene ne kadar zam yaptı,  @xbarancatak, @nurzkn 🤩",10
Every step #NeoTechCampus ⚡️,"❤️🙌🙌❤️, ÖDEV, TEZ, SINAV, SPSS, MAKALE, SUNUM İÇİN YANINIZDAYIZ..., Okulumu özledim 😢, Üniversite zamanlarımı özledimmmm😢, 🙌🙌🙌🙌, Ödev yapılır tez yazılır, ÖDEV, TEZ, PROJE, SINAV, SPSS VE MAKALE DM DEN ULAŞIN...,Пишу пишу тебе.. oтветь мне пожaлyйста) ",17
"Tekrar bir arada olduğumuz için çok mutluyuz! İyi ki geldiniz, #hoşgeldiniz 🧡 #neotechcampussizinlegüzel","Teşekkürler 🙏🏻 ama biz İranlı lar da bu Üniversitede okuyoruz ve baya da çok öğrenci var bizim dilimizde de söylerdiniz çok mutlu olurduk 🙏🏻🙂, خوش آمدی, Hosgeldiniz ❤️, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, ❤️, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Zam gelinci sadece yeni öğrencilere olması gerekiyor diye biliyorum. Eski öğrenciler Dolar ile ödediği için zam gelmez. Yani kusura bakmayın ama biz deprem bölgesinde kalanlar bize yardımcı olmadan ücretlerimize zam getiriyorsunuz., As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Are you for real I wish uni still online until I graduate from here 🤲🏻, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Lee Mezuniyet törenimiz ne zaman olacak peki?, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, ابو جودد وينك ماني شايفك 🤣💔 @jjaw0, @ghazi_alazem أنا بهولندا 😂, My be like that 🤷‍♂️, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, هلا ما لاقو إلا هاد ابو شنب يمثلنا, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept that we have to pay the costs of the new year before the end of the year, otherwise you do not accept payment in installments and this is not a small amount #nişantaşıüniversitesi, Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase prices we are paying in dollar,     * Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi,Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı öğrencileri olarak fiyat artışı bize uygun değil,dolar fiyatı artmadığı halde fiyatlar artıyor.Bizim talebimizi duymanızı rica ediyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Nişantaşı Üniversitesi öğrencisi olarak dolar ile ödeme yaptığımız için fiyat artışını kabul etmiyorum ve yıl bitmeden yeni yıl için ödemeye zorlanmayı kabul etmiyoruz. #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi Don’t increase the prices we are paying in dollar #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi, Don’t increase the prices we are paying in dollar #nişantaşı #nişantaşı_university #nişantaşı_üniversitesi, Don’t increase the prices we are paying in dollar #nişantaşı #nişantaşı_university #nişantaşı_üniversitesi, العربي 😭😭 يمعوديين الكلام ليش معكوس خربيكم,  🦦اهلين فيك, ❤️, مالح نجي, öncelikle hayırlı ramazanlar ben depremzedeyim adiyamanliyim malesef isimi evimizden kısacası yurdumuzdan olduk ailem boluda barınma yurdundalar bende bir işin ucundan tutmak için İstanbul a geldim malesef maddi yönden çok zor durumdayım yardım eden olursa minnettar olurum belki bazıları inanmayacak ama her türlü kanıtı sunarım simdiden herkesten Allah razı olsun numaram 05434751615, ÖDEV, TEZ, PROJE, MAKALE, SPSS İÇİN YANINIZDAYIZ..., Tez yazılır, As a student at Nisantasi University I do not accept the price increase because we pay in dollars and we do not accept being forced to pay for the new year before the end of the year #Nişantaşı #nişantaşi_üniversite #Nişantaşı_Üniversitesi",118
"Nişantaşı Eğitim Vakfı Kurucumuz Sayın Dr. Levent Uysal bir yıl boyunca kütüphaneyi en çok kullanan, en çok sayıda kitap okuyan öğrencilerimiz ve akademisyenlerimiz ile bir araya gelerek kütüphane haftasında kendilerini tebrik etti. #kütüphanehaftası #nisantasiuniversitesi","😍😍😍, Моя мечта😍, Tez yazılır",3
