Content,Comments,Number of Comments
"Üniversitemiz Genç Kızılay Kulübü’nün hazırlamış olduğu 3 gün süren kan alma etkinliği bugün sona erdi. Bu süreçte kan veren tüm öğrencilerimize, idari ve akademik kadromuza teşekkür ederiz. Kan bağışı hayat kurtarır.",Okulumuza ve sizlere destekleri için çok teşekkür ediyoruz ❤️🌙,1
İstanbul Nişantaşı Üniversitesi Neo Tech Müzik kulübümüzün “Ata’mızı Anma Akustik Dinletisi” etkinliği.,,0
"10 Kasım da Atamızın huzurundaydık. Nur içinde uyu Atatürk! Gençlik hala seninle. Bugün, yarın ve daima..",,0
İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı olarak Öğrenci Konseyi üyesi ve Öğrenci Kulüp Başkanlarımızla birlikte Ata’mıza ziyarette bulunduk.,"🇹🇷❤️🤍,❤️🇹🇷,🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷💣💣💣💣",3
"Sana söylenecek çok söz, haykıracak çok acı var içimizde. 84 yıldır bugün dağlarda açan çiçekler solar, güneş bir buruk doğar. Hasret,minnet ve acıyla anıyor, adını her daim yaşatacağımıza and içiyoruz. İzindeyiz Ata’m…",,0
Nişantaşı Üniversitesi Erasmus+ Kulübü Yönetim Kurulu olarak T.C. İstanbul Valiliği Avrupa Birliği ve Dış İlişkiler Bürosu ile gelecek dönemlerimizde iş birliği içerisinde gerçekleştireceğimiz projelerimiz hakkında detaylı bir toplantı gerçekleştirdik. T.C. İstanbul Valiliği Avrupa Birliği ve Dış İlişkiler Bürosu na ilgileri ve nezaketleri için çok teşekkür ederiz. Projelerimizden haberdar olabilmek için takipte kalmayı unutmayın! #avrupadayanismaprogramı #europeansolidaritycorps #esc #escvolunteers #volunteers #eurodesk #ulusalajans #gönüllülük #erasmus #erasmusplus #discovereurope #youthpass,"Yürü güzel oğlum yolun açık olsun.,💯🙌👏,🙌",3
"İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı olarak Ekim ayında yaptığımız etkinliklerin büyük bir kısmını sizler için derledik. Biz bu ay çok eğlendik, fayda sağladık ve daha çok bağlandık. Eğer sen de öğrenci kulüplerimize katılmak istersen DM kutumuza adını, soyadını, numaranı ve katılmak istediğin kulüplerin isimlerini bırakabilirsin.","👋❤️‍🔥✨,💣💣💣💣❤️❤️❤️❤️❤️,🔥🙌",3
"Nişantaşı Üniversitesi Erasmus Plus Kulübü olarak, ülkemizin ve iş dünyamızın dünya pazarlarında ki etkinliğinin artırılması amacıyla iki yılda bir düzenlenen 18 farklı sektörden katılımcının ağırlandığı MÜSİAD EXPO Fuarına katılım sağladık. Davetleri ve destekleri için @gencmusiad a teşekkürlerimizi sunarız.","🙌🙌,👏👏👏,🔥🔥🔥,🙌🔥,👏",5
"Bugün gerçekleştirdiğimiz ""Voleybol Maçı"" etkinliğine katılan bütün üyelerimize teşekkür ediyoruz. Bir sonraki etkinlikte görüşmek üzere!","❤️,👏👏",2
"Büyük bir mücadelenin ardından kazanılmış koskoca bir zaferdir Cumhuriyet. Dağlarımıza çiçekler açtıran, bulutları dağıtıp güneşi ateş gibi parlatan; eğitimi, öngörülülüğü ve zekası ışığında bizlere Cumhuriyet’i armağan eden; başta Ata’mız, Başkumandan’ımız Gazi Mustafa Kemal olmak üzere tüm Gazilerimizi yad ediyor, bu uğurda canını veren tüm şehitlerimizi rahmetle anıyoruz. Cumhuriyetimizin 99. yılı kutlu olsun.","Türkiye Cumhuriyeti ilelebet payidar kalacaktır 🇹🇷🤍,Yaşasın Cumhuriyet❤️,❤️❤️❤️",3
"İstanbul Nişantaşı Üniversitesi Ekonomi Kulübü, Tanışma Toplantısı gerçekleştirdi. Çok güzel projeler ve fikirler üretildi.",,0
İstanbul Nişantaşı Üniversitesi Moda Tasarım Kulübü Azot Co. iş birliğiyle gerçekleştirdiği workshop çok keyifli geçti. Tüm katılımcı öğrencilerimize ve Azot Co. ailesine teşekkür ederiz.,,0
İstanbul Nişantaşı Üniversitesi Çocuklara Yardım Kulübü Lösev etkinliği.,"❤️❤️,Tüm değerli desteğinize minnettarız çok seviliyorsunuz❤️",2
"İstanbul Nişantaşı Üniversitesi Erasmus+ Kulübü olarak, bu dönem ilk etkinliğimiz olan; “Tanışma ve Oryantasyon Etkinliği’mizi” Beyoğlu Belediyesi ve Imece Network ile iş birliği içerisinde Akademi Beyoğlu’nda gerçekleştirdik. Yeni bilgiler kazandırırken, eğlenceli aktiviteler ile katılımcılarımızın network ağlarına katkı sağladık. Nişantaşı Üniversitesi Erasmus+ Kulübü’nün amacı nedir? Erasmus+ Programı nedir? Gençlik Değişimi Projeleri nelerdir? Nasıl başvurulur? vb. konular hakkında katılımcılarımıza bilgi sağladık. Sn. Özkan Uzelli Beyefendiye değerli katkıları ve Akademi Beyoğlu’na destekleri için çok teşekkür ederiz.",👏👏,1
"Meet the people who make it happen!!! Here is a an introduction of our club council, an insight into our Multicultural family working together to make it all possible for you. We can’t wait for you guys to be a part of this fun fam and make our university life enjoyable and exciting!! So join us in our events and get a chance to be an active member and worker of Nish Multicultural Club 🙌🏻 #mccnish","Siu,Ayyy 🙌,🔥🔥🔥,The coolest video on the internet today 🫶🏻,😂😂😂😂😂😂😂,Hahah loved the video and the editing 🔥,The memes were the best💀💀😭,Best wishes 🥰💚👌,👏👏🔥🔥,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🔥🔥🔥🔥🔥🔥,Bunlar nerde ne zaman oldu ki skskksksks,Cwool friends👍,No cause literally the editing is 👌🏻👌🏻👌🏻,super proud of you @baalaaj_khan this is amazinggg,@s7ma__ 😍👏🔥,❤️❤️🔥,W",17
İstanbul Nişantaşı Üniversitesi Müzik Kulübü Neo Tech Müzik “Açık Sahne” etkinliğinde öğrencilerimiz performanslarını sergiledi. Sahne alan ve dinleyen tüm öğrencilerimizin yüreklerine sağlık.,,0
İstanbul Nişantaşı Üniversitesi Çocuklara Yardım Kulübü’nün bugün gerçekleştirdiği AİP vakfı ziyareti.,,0
İstanbul Nişantaşı Üniversitesi Girişimcilik Kulübü tanışma toplantısı etkinliğimiz📸,,0
İstanbul Nişantaşı Üniversitesi Tiyatro Kulübü’müzün ilk etkinliği bugün gerçekleşti. Öğrencilerimize başarılı bir dönem diliyoruz.🎭,,0
"İstanbul Nişantaşı Üniversitesi Müzik Kulübü NeoTechMüzik, 29 Ekim etkinlikleri kapsamında Sarıyer Belediyesi İş Birliği ile aldığı sahnede büyük ilgi topladı. İstanbul’daki tüm üniversitelerin katıldığı bu etkinlikte sevgili öğrencilerimizi de görmek bizleri çok gururlandırdı.Öğrencilerimizin, Başkumandan’ımızın değerli gençlerimize emanet ettiği Cumhuriyet’i yaşatacakları nice 29 Ekim’leri kutlamak dileğiyle…",🔥🔥,1
İstanbul Nişantaşı Üniversitesi Motosiklet Kulübümüzün bugünkü Kahvaltı etkinliğinden kalan fotoğraflar📸,,0
İstanbul Nişantaşı Üniversitesi ESN kulübümüzün bugünkü Adalar etkinliğinden güzel fotoğraflar.,🍃🚴⛴️❤️‍🔥,1
İstanbul Nişantaşı Üniversitesi ESN öğrenci kulübümüzün Game Night etkinliğinden kalan güzel anılar.🥳,✨✨✨,1
İstanbul Nişantaşı Ünivetsitesi Yapı Kulübü’müzün bugün gerçekleştirdiği Kulüp Kahvaltısı’ndan kareler📸,,0
İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı olarak Öğrenci Kulüp başkanlarımız ve vekilleriyle 2022-2023 eğitim-öğretim yılı etkinlik planlamaları ve daha birçok şey hakkında toplantımızı yaptık. Keyifli bir sene bizi bekliyor.,"😍😍😍,🙌❤️,Harikayız❤️",3
"“Boğaz’a Kadar Müzik, Sonsuz’a Kadar Cumhuriyet” 29 Ekim etkinlikleri kapsamında Sarıyer Belediyesi’nin kutlamalarına dahil olduğumuz için çok mutluyuz. Sizleri de bekliyoruz. 16.00 - 16.30 - 17.00 saatlerinde Hacıosman Metro durağı önünden konser alanına ring hattı olacaktır.",,0
"İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı, Genç Kızılay Kulübü bugun Darülaceze Huzurevi’ne ziyaret gerçekleştirdi. İyilik bulaşıcıdır.❤️",,0
"İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı olarak İstanbul İl Sağlık Müdürlüğü’nün üniversite öğrencilerine ruh sağlığının korunması ve psikolojik dayanıklılığının arttırılması, organ bağışı, meme kanseri farkındalığı haftasında sizleri okulumuzda ağırlamaktan mutluluk duyuyoruz.",,0
İstanbul Nişantaşı Üniversitesi ESN ailesi pazar kahvaltısı ile haftayı kapattı. Hepinize mutlu haftalar❤️,,0
İstanbul Nişantaşı Üniversitesi Motivasyon kulübümüzün bugün Kanlıca’da gerçekleştirdiği Motivasyon Kahvaltısından kareler📸 Mutlu haftalar❤️,"🌸🌸,🥹🫶🏻🧿🫶🏻,❤️❤️🙌🙌",3
İstanbul Nişantaşı Üniversitesi ESN Nişantaşı öğrenci kulübümüzün “Oktoberfest” etkinliğinden kalan güzel anılara siz de bir göz atın!,,0
İstanbul Nişantaşı Üniversitesi’nde Oryantasyon haftamız devam ediyor!,"😍😍,🔥🔥🔥",2
"İstanbul Nişantaşı Üniversitesi oryantasyon haftasının ilk haftası bugün sona erdi. Biz çok eğlendik,ya siz? #oryantasyonhaftası #education #welcome","🔥,🙌🙌,❤️",3
"İstanbul Nişantaşı Üniversitesi 2021-2022 yılı mezunlarımızı hayatlarının yeni dönemlerine yolcu ettik. Mezunlarımızla birlikte kocaman bir aile olmanın gururu ile içimizdeki Nişantaşı ruhunu yaşatıyoruz. Tüm mezunlarımıza başarı,mutluluk ve keyif dolu bir gelecek diliyoruz. #nişantaşıüniversitesi #mezuniyet #vizyon #misyon #aile",,0
Katılan tüm öğrencilerimize teşekkürler ve final haftasında başarılar diliyoruz.,,0
